gene_id	numb_iso	group	meanC1	meanC2	mean	varC1	varC2	var	DIE	DS	DIEDS	DE	DIEgroup	DSgroup	DIEDSgroup	DEgroup
ENSG00000160753	17	III	151.5675	364.02625	257.796875	14913.1093642857	10413.9901982143	23856.3052495833	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160766	8	II	19.20875	43.76375	31.48625	227.594641071429	67.4938839285714	298.494118333333	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160767	11	III	129.18625	252.025	190.605625	16800.1830267857	4081.2788	13768.5111195833	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160781	14	III	52.37375	131.92375	92.14875	1656.36894107143	15342.9093982143	9620.517225	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160783	9	II	121.17125	266.65375	193.9125	12348.9098696429	3186.5001125	12893.9000733333	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160785	6	II	134.11625	245.66875	189.8925	15478.4666553571	3557.88692678571	12202.0210733333	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160789	28	III	941.2425	1356.60625	1148.924375	640157.131535714	456884.394255357	557959.92398625	FALSE	TRUE	FALSE	FALSE	0	0.5-0.8	0	0
ENSG00000160791	4	I	22.25	37.5	29.875	213.357142857143	856	561.05	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160796	15	III	537.86125	1233.25875	885.56	300346.0996125	192958.084155357	359162.667893333	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160799	8	II	91.165	166.18	128.6725	6921.20548571429	2070.89002857143	5696.9113	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160801	8	II	10.875	21.875	16.375	135.267857142857	271.553571428571	222.116666666667	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160803	4	I	207.3975	410.94625	309.171875	32244.52945	7044.29776964286	29383.34433625	TRUE	FALSE	FALSE	FALSE	3	0	0	0
ENSG00000160813	5	II	51.90625	80.785	66.345625	2476.69219821429	1303.67097142857	1986.56473291667	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160818	18	III	84.52	203.66875	144.094375	4051.70914285714	837.101898214285	6067.15838625	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160828	9	II	101.13375	263.9925	182.563125	5693.68768392857	7248.39627857143	13112.43183625	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160862	6	II	4516.6175	3925.24125	4220.929375	39222375.81845	7277431.05424107	21793170.1056729	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160877	1	0	258.63375	355.12625	306.88	81975.2363410714	11829.3195982143	46258.34012	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160888	1	0	474.1375	1206.4975	840.3175	188415.435278571	367753.30865	402572.392393333	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160908	7	II	100.675	189.36875	145.021875	5231.73557142857	1639.27152678571	5304.22498958333	FALSE	TRUE	FALSE	FALSE	0	0.3-0.6	0	0
ENSG00000160917	12	III	94.66625	174.06	134.363125	8287.8431125	1239.26334285714	6126.88102291667	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160932	15	III	441.30375	470.80875	456.05625	352102.538883929	44866.4410125	185484.335958333	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160948	17	III	463.745	823.64375	643.694375	237590.922828571	37372.3350553572	162856.74974625	TRUE	FALSE	FALSE	FALSE	0.5	0	0	0
ENSG00000160949	3	I	71.04625	145.56125	108.30375	6509.69216964286	3038.83878392857	5936.64383833333	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160953	5	II	160.2475	328.87125	244.559375	17516.45005	5747.58684107143	18438.9422995833	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160957	11	III	326.14	126.33875	226.239375	405147.0282	20986.7603267857	209507.91184625	FALSE	TRUE	FALSE	FALSE	0	0.5-0.8	0	0
ENSG00000160959	9	II	388.6025	353.5475	371.075	340879.96485	24928.7609071429	171038.432826667	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160961	4	I	85.455	155.53125	120.493125	3583.48131428571	1678.0398125	3764.89140958333	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160963	4	I	27.87375	64.43375	46.15375	1119.76465535714	1379.47236964286	1522.74623833333	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160972	11	III	224.69875	316.1925	270.445625	66919.5959839286	17385.1672214286	41574.5178395833	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160973	3	I	63.12	125.9675	94.54375	3311.19497142857	3084.70993571429	4038.037825	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160991	9	II	381.1375	696.47875	538.808125	125041.903192857	38705.5376696429	102932.83345625	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000160993	3	I	38.905	80.52125	59.713125	1437.61277142857	559.591983928571	1393.87215625	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000161010	25	III	984.7225	2049.415	1517.06875	685139.18045	496729.474514286	853824.070865	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000161011	18	III	1152.5925	2200.60625	1676.599375	1232218.82856429	948695.636569643	1310648.83577958	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000161013	23	III	238.8675	577.435	408.15125	51301.95165	63899.4842285714	84328.1239583333	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000161016	15	III	3267.1375	7685.29125	5476.214375	10175085.3268214	6023979.93766964	12764919.1390662	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000161021	5	II	176.0925	432.865	304.47875	16676.9370214286	3679.91757142857	27081.7632783333	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000161036	9	II	89.245	138.89875	114.071875	7644.38428571429	850.775441071429	4621.87317625	FALSE	TRUE	FALSE	FALSE	0	0.5-0.8	0	0
ENSG00000161040	15	III	6.8325	9.975	8.40375	27.2389071428571	16.6907714285714	23.1339316666667	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000161048	11	III	64.10125	158.37375	111.2375	760.890269642857	1571.53168392857	3458.41138	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000161057	6	II	160.72875	361.50625	261.1175	6053.78698392857	2676.76542678571	14824.0189933333	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000161091	3	I	177.8375	275.08	226.45875	37296.0439071429	3096.97265714286	21371.7020783333	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000161103	3	I	27.925	27.27375	27.599375	869.512857142857	50.5602553571429	429.480552916667	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000161149	3	I	19.3675	32.47375	25.920625	457.985364285714	95.8622553571429	304.26856625	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000161179	7	II	52.24625	98.625	75.435625	3500.33654107143	997.410714285714	2672.54563958333	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000161202	9	II	505.9275	960.7825	733.355	170687.190821429	57002.9152214286	161426.868426667	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000161203	23	III	973.535	1752.74875	1363.141875	726152.703885714	152513.4830125	571957.305402917	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000161204	18	III	205.89375	413.715	309.804375	36540.7826553571	8789.08065714286	32671.18206625	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000161217	17	III	192.015	404.36875	298.191875	16763.7587142857	5121.33969821428	22238.14329625	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000161243	2	I	84.06375	131.16875	107.61625	7008.9131125	3172.35638392857	5342.960705	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000161249	64	III	74.64625	116.57375	95.61	3727.68594107143	6997.05582678571	5473.65689333333	FALSE	FALSE	FALSE	FALSE	0	0	0	0
ENSG00000161265	4	I	34.055	61.285	47.67	881.450257142857	624.703857142857	900.598026666667	FALSE	FALSE	FALSE	FALSE	0	0	0	0
